github_number,additions,deletions,changed_files
2438,30,14,3
1216,20688,320,2
1226,7,0,1
1229,172,52,6
1230,99,2,9
1236,1,1,1
1277,563,22,13
1247,189,0,4
1246,29,14,1
1248,203,1,3
1255,8,8,6
1257,4,1,1
1441,11,7,3
1415,0,5,1
2410,50,39,5
1270,339,0,3
1258,4,2,3
1284,42,1,3
1398,1,1,1
1263,26,32,1
2379,6,2,1
1267,1,1,1
1276,1125,1954,33
1314,205,244,16
1312,56,203,11
1313,191,249,14
1316,35,155,4
1315,46,100,7
1317,14,9,2
1269,44,5,4
1401,8,6,2
1272,410,1,9
1275,16,5,3
1311,3,3,2
7652,150,25,12
1664,4,0,1
1296,6,0,2
1308,69,50,1
1294,45,0,3
1293,106,350,2
1444,750,392,46
1462,13681,9664,174
1302,4,4,1
1305,9,1,1
1310,13,9,1
1321,11,3,1
1320,12,0,1
1325,62,6,1
1609,42,23,2
1328,2,522,7
1390,357,30,5
1394,5,2,1
1425,217,13,5
1741,1,1,1
2318,5,5,1
2252,56,46,1
1695,10,10,1
1713,238,33,5
1406,5,10,3
1464,10,4,3
1414,2,5,1
2058,13,0,2
2052,0,1,1
1563,2,2,1
1442,3,0,1
1843,26,1,2
1443,88,88,10
6526,2484,0,36
1449,5,8,1
1457,29,4,3
1962,18,52,3
1917,350,31,10
1944,92,53,7
1717,338,199,23
1467,1099,2,10
1466,353,45,6
1667,15,19,4
1689,28,1,3
1497,2,0,1
1477,2,2,2
1478,6,5,1
1658,2,2,1
1483,2,2,1
1714,10,3,4
1564,26,5,2
1750,290,3,4
1586,4,4,2
1495,3,1,2
1500,174,0,2
2101,5,5,1
1577,282,204,7
1501,230,0,2
1507,2,1,1
1585,835,625,41
1512,8,1,2
1514,55,11,1
1719,20,12,1
1520,4,4,1
1521,10,14,2
1545,85,91,14
1533,17,5,1
1549,6,1,2
1555,1,1,1
1556,12,17,2
2129,30,0,1
1950,7174,1096,88
1567,14,14,10
1570,1676,514,97
1731,888,6,5
2303,2,1,1
1593,2,1,1
3291,1,1,1
1594,117,52,10
1854,60,35,2
1598,0,1,1
1620,0,1,1
1599,14,2,2
1612,4,4,2
2468,81,9,5
4338,90,170,10
2526,46,16,1
1622,8,8,1
2254,10,12,2
2102,5,2,1
4246,1,1,1
1655,59,25,8
1633,2969,1949,21
1635,1,1,1
1636,6,1,2
1642,11,11,2
1767,1447,102541,1206
1649,106,67,3
1749,15,4,1
2506,3,2,2
2145,12,0,1
1650,4,0,1
2627,1,0,1
1654,26,3,4
1671,255,196,104
1672,12,7,8
1704,2,2,1
1757,16,16,8
1696,32,26,2
1666,8,2,1
1659,7,2,1
1660,13,5,1
1661,1,1,1
1670,0,75,4
2543,21,0,1
1669,1,1,1
1673,25,13,1
1679,1,6,6
1685,446,52,15
2077,14,5,3
2206,92,28,6
2121,3,3,1
1991,97,57,8
1686,5,6,2
1691,271,24,10
1723,0,2,1
1703,1,1,1
1759,3,4,2
1724,0,2,1
1721,240,169,11
1715,1,1,1
1705,1692,1123,53
1720,1,0,1
3379,4,1,1
1845,33,4321,100
1860,5,1,1
1729,4,3,1
1733,1,1,1
2006,1,0,1
1736,509,600,499
1737,40,23,2
6874,77,55,8
1781,23,8,3
1760,9,4,1
1770,36,6,2
1763,31,6,2
1784,740,649,15
1776,32,0,3
1778,8,1,1
1779,24,8,4
1780,1,0,1
1787,113,30,6
1782,601,0,2
1796,6,0,1
1798,102,91,4
2103,94,36,5
1786,1,1,1
2911,29324,24090,4942
3044,5248,3005,1867
1788,39,81,1
2785,25,2,3
3293,1,1,1
1998,25,2,3
1997,7330,104507,1352
1814,1,1,1
1846,1,1,1
1855,26,9,4
1817,12,0,1
1906,44,0,2
1801,450,529,55
1979,7,7,2
1986,2,2,1
1816,12,12,1
1830,7,0,1
2123,5,5,3
1879,405,20,2
2036,1,1,1
2034,1,1,1
1802,2064,1942,1
1980,2,0,1
1837,1525,121,29
1847,313,246,11
1820,4,0,1
1831,20,1,3
2163,1,1,1
1849,233,7,7
1844,6,2,4
2030,7,20,5
2007,394,406,37
1869,2,1,1
1868,11,20,6
1851,14860,196,136
1852,128,60,5
2149,77,61,3
2728,5,4,1
7257,115,266,5
1865,5,5,1
1867,2002,1815,55
1889,35,8,3
1870,3,4,1
1872,1,0,1
1895,115,141,11
2035,1,0,1
1985,1,0,1
3822,1430,32,28
2777,1286,13,22
1885,15,23,1
1881,26,0,2
1883,28,1,3
1891,58,8,9
1935,101,97,2
1893,25,5,2
1894,19,19,1
1896,8,8,4
1922,93,44,11
1898,9,1,1
1899,28,13,1
1957,8,1,3
1933,2,2,2
1948,2,2,1
1903,5,5,3
1908,101,9,6
1921,13,4,1
1907,5,1,2
1913,7,229,25
1987,2,2,2
1923,1,1,1
1926,1,1,1
2153,1,1,1
1928,43,44,8
1936,3,4,2
1937,4,1,1
1959,7,5,6
1958,11,0,1
1956,85,41,18
3955,46,7,5
1943,199,0,5
1960,5194,3453,204
1947,15,8,4
1967,1,0,1
2132,693,790,32
1969,10,10,1
1970,380,0,3
2042,15,17,1
1978,11,14,2
2078,16,1,1
2395,231,144,2
1983,13,13,2
2043,1,4,2
2188,4,0,1
4304,3,3,2
2341,126,51,3
2500,1,1,1
2004,24,2,4
1994,496,567,14
1995,1,1,1
2019,6,2,3
2005,28,19,3
2000,0,1,1
2001,3,2,2
2002,3,12,5
2003,1,0,1
2013,4,0,1
2135,16,5,2
2012,12,9,6
2068,0,1,1
3587,16,7,1
2027,205,184,2
2024,58,32,9
3733,1,1,1
2917,87,31,1
2393,582,0,3
2041,9,3,3
2044,299,14,3
2071,1594,160,23
2787,1570,159,21
2460,1,1,1
2053,27,5,1
2055,2,2,2
2560,1,1,1
2061,3,0,1
2065,1,1,1
2066,1,1,1
2294,45,38,4
2900,32,26,1
2354,1,1,1
2901,6,13,1
2348,2,2,1
2189,26,0,3
2080,1,1,1
2086,5,5,3
2087,2,1,1
2090,23,83,5
2098,44,7,1
2095,318,141,36
3795,18,50,2
2115,5,4,1
2105,63,43,4
2346,0,4,1
2157,54,27,3
2120,1133,49,31
4617,183,49,8
2118,5,4,2
2335,1183,1150,4
2847,240,223,4
2512,7,0,1
2131,6,6,1
2136,33,25,1
2146,48,39,4
2148,46,37,3
2152,6,0,1
2168,15,2,3
2147,6,6,1
2298,10,4,2
2382,108,3,2
2201,5,0,1
2204,1,1,1
2178,108,51,2
2309,18,36,7
4157,4,4,1
4330,4,0,2
2193,2,4,2
4229,29,15,2
4220,10,2,2
2262,71,38,2
2390,10,0,2
2161,0,10,4
4450,43,22,4
4498,100,15,4
4500,101,16,4
2170,35,1,2
2228,33,1,2
2482,1,1,1
2173,1,1,1
2292,1,18,1
2786,1,35,7
2220,35,1,7
2172,115,13,5
2274,27,24,8
2461,7,0,2
2407,2,2,1
2185,2,2,2
2180,6,5,1
2181,33,35,2
2182,1939,1728,6
2183,44,41,6
2186,14,12,1
2187,14,2,3
2190,2,1,1
2972,10,4,2
2834,4,0,1
2282,2,1,1
2196,22,103,7
2474,1,0,1
2377,0,16,1
2268,8,1,2
3590,4,0,1
3586,2,1,1
2208,273,16,4
2285,1,1,1
3588,8,10,1
2212,34,26,1
2210,2,1,1
2211,19,0,1
2267,6,0,1
2304,39,13,2
2214,9,2,4
2215,1,1,1
2255,393,446,28
2242,79,2,2
4612,0,1,1
2378,54,17,11
2466,1,1,1
2221,2,1,1
4078,43,48,7
3139,296,207,23
2240,2,0,1
2283,1,1,1
2260,59,26,2
2250,3353,439,23
2375,20,11,2
2265,11,15,1
2293,3,3,1
2231,11,11,8
2261,28158,30509,1929
2408,86,120,33
3346,26842,29200,1944
2373,7,2,3
2316,9,3,2
2902,6,6,2
2243,4,4,1
2259,3,3,1
2641,77,35,4
2246,23,11,1
2244,53,12,1
2245,25,25,1
2352,1,1,1
2943,2,7,1
2248,12,12,2
2280,4,4,1
2253,1,1,1
2295,11,11,2
2257,22,2,2
2258,13,0,2
2264,2,0,1
2485,1,2,2
2523,1,1,1
2359,8,0,1
2270,24,20,4
2401,9,0,1
2269,1,1,1
2281,2,2,1
2365,3,3,1
2462,8,8,3
2362,5,0,1
