github_number,additions,deletions,changed_files
7834,1226,0,14
7795,118,14,5
7808,501,161,13
14431,488,754,16
206,21,21,4
11162,65,48,10
7800,0,21,6
7801,13,13,1
7807,298,175,17
7847,122,0,3
7822,491,295,29
7932,989,290,10
7840,32,0,2
204,243,2,5
7866,1392,743,39
7899,968,653,30
8238,47,1,3
8034,663,5,8
7818,61,117,24
7821,480,820,59
7820,7,1,1
7841,518,516,16
7825,21,18,4
7829,10,7,1
7824,10,7,1
7828,10,7,1
7827,10,7,1
7861,4,0,1
7835,18,14,5
7843,11,13,4
7874,11,13,4
7845,404,318,8
8152,2,1,3
10324,1639,0,66
9191,1172,0,12
7849,227,214,30
7852,805,484,12
8775,78,23,5
7856,165,332,6
7802,2,2,1
7862,13,0,3
13358,244,181,9
162,1,1,1
7857,21,21,19
7883,132,27,8
7884,10,17,3
7864,110,91,15
7914,838,76,13
7858,11,1,2
7982,9742,256,62
374,120,22,9
7878,232,0,6
7881,831,0,10
7955,219,6,1
7885,0,0,23
7888,40,14,3
7886,40,14,3
7898,497,80,8
167,50,26,5
7897,46,16,1
8005,321,1,3
7901,1,1,1
7987,9,1,2
8583,14,1,2
7902,33,32,30
7903,19898,310,106
7921,46,16,1
7905,2,0,1
7900,8,4,1
7904,1298,0,4
7907,4,3,2
277,15,0,1
276,35,20,1
296,12,0,1
7906,1576,0,13
7909,185,179,12
7910,3288,8,41
10169,1,1,1
7913,3660,130,45
14875,3013,4,32
7915,978,3,15
9832,3782,1749,54
7920,179,163,4
7933,0,318,7
7919,79,26,2
7918,79,26,2
7928,153,30,7
7929,153,30,7
7926,102,4,5
7925,138,29,6
7924,138,29,6
7934,95,19,6
7937,183,9,4
7935,221,59,4
7936,221,59,4
7949,4656,130,29
7945,5084,117,43
7941,718,0,10
9710,8,15,1
7988,19,19,9
7943,2,2,1
7944,1352,61,13
7957,128,15,2
7946,1,1,1
7947,3,4,1
8686,126,32,11
7948,2,8,2
7996,2208,56,12
7970,216,150,14
8124,1752,86,22
8742,326,125,19
7958,1821,131,61
7961,1674,0,6
8062,2692,1210,44
8018,1001,592,23
7963,98,60,15
7964,6,6,1
7966,10,2,2
8209,70,1110,53
7972,3,1,1
7969,2848,142,51
7971,25,4,2
8029,15257,659,70
10922,3245,3,22
7975,108,67,40
7974,6,10,3
7973,14,32,2
7984,15,32,2
7981,0,16,1
8037,12,24,1
7976,1543,939,32
177,1266,54,16
7978,21,5,4
7979,12,3,1
8195,86,1,2
7985,358,208,30
8116,2,11,2
8324,385,210,25
8373,552,71,14
8002,607,433,19
7991,156,0,3
7992,0,19,1
348,474,134,9
7993,4595,155,56
10208,110,2118,13
165,34,24,2
8244,4193,33,20
