github_number,additions,deletions,changed_files
12886,168,63,4
12895,1,1,1
12891,1,1,1
4444,97,53,37
12940,310,7,9
12893,2,12,4
12896,9,0,1
12897,2,16,2
12915,15,17,3
12898,4,2,4
12900,72,23,7
12904,1,1,1
14065,56,9,3
12910,1,1,1
12937,39,14,6
12925,357,1,7
4451,76,43,10
12919,2,32,4
14046,142,16,6
12926,18,0,1
12973,0,4,1
12972,0,3,1
12927,7233,4865,247
12929,1,13,1
12930,1,1,1
12931,6,4,1
12932,1,1,1
13103,1,1,1
12936,23,9,2
5737,1,1,1
4474,3,1,2
13239,187,0,1
13237,187,0,1
12938,1,1,1
12941,2,1,1
13377,349,132,16
13230,33,53,17
13203,196,578,65
12942,10,11,3
12998,12,2,3
12989,12,2,3
13003,189,1216,36
13042,91,1339,33
13022,190,1216,36
13041,91,1339,33
12943,1,1,1
12946,1,0,1
12961,52,7,4
12968,52,7,4
12949,1,1,1
12951,2,2,1
12952,87,11,4
4972,138,13,2
12971,6,3,2
12956,6,3,2
12957,88,20,4
13739,56,13,4
13684,7,2,1
14553,33,1,2
14095,208,4,4
13350,3748,17,16
13008,70,15,8
12962,4,2,1
13017,4,2,1
12967,1,1,1
12963,1,1,1
12981,32,19,1
12976,32,19,1
12975,32,19,1
12982,32,19,1
12969,22,19,1
12970,12,1,1
12974,8,1,1
4452,527,50,13
12990,9,1,1
12979,9,1,1
12992,37,0,1
13414,15,3,2
12987,1,1,1
12986,1,1,1
12985,11,2,1
12994,71,185,13
13032,1,1,1
12991,2,2,2
13198,2,2,1
12997,4,0,1
13015,1412,445,34
13043,1412,445,34
13002,3,3,1
13001,3,3,1
13004,142,0,2
13000,1,1,1
4482,65,179,19
13111,4,1,1
13044,4,1,1
13021,15,0,9
13012,15,0,9
13009,2,2,1
13231,146,36,8
13048,1,1,1
13035,1,1,1
13014,1,1,1
13049,1,1,1
13434,172,6,10
13026,163,5,8
13016,171,5,9
13069,23,0,1
13020,341,3,7
13031,16,0,1
13034,74,8,4
13341,1929,612,74
13360,1734,441,66
13662,3,0,1
13024,21,7,2
13025,21,7,2
13082,8,8,3
13065,116,114,5
13040,111,75,23
13036,111,75,23
13083,8,8,3
13098,5,12,7
13099,5,13,8
13066,116,115,5
13028,1,1,1
13027,1,1,1
13029,13,6,2
13030,13,6,2
13033,1,1,1
13045,25,0,2
13121,17,0,2
13487,286,56,10
13039,82,5,3
13052,14,5,1
13073,1,1,1
13072,1,1,1
13046,271,5,9
4462,55,1,2
13047,322,0,3
13108,13,12,1
13084,13,12,1
13053,1,1,1
13054,2,3,2
13055,4,3,4
13064,4,3,4
13063,4,3,4
13056,4,3,4
13061,30,21,6
13068,72,5,6
13067,72,5,6
13062,3,3,1
13151,330,0,1
13410,203,7,4
