github_number,additions,deletions,changed_files
3463,14,3,1
3464,8,3,3
3465,10,0,1
3466,4,6,1
3478,29,3,1
3550,127,0,1
3471,75,30,2
3472,74,28,2
3523,70,50,16
3509,301,171,27
3510,222,119,12
3522,23,14,5
3514,72,171,5
3515,184,74,5
3511,171,72,5
3475,15,12,6
3605,15,71,5
3528,13,10,2
3503,183,42,10
3506,769,92,21
3479,167,168,1
3481,30,6,4
3480,12234,4492,685
3482,12,3,2
3483,1,1,1
3492,318,159,38
3498,159,318,38
3499,312,151,38
3486,80,169,9
3487,11,7,1
3490,32,18,6
3572,1,1,1
3491,94,57,12
3493,404,745,14
3497,6,1,1
3516,44,35,3
3495,4,7,1
3494,6,0,1
3536,83,2,2
3534,71,33,8
3502,4,2,1
3500,29,19,2
3504,168,43,10
3586,1,4,1
3583,245,199,9
3512,100,67,7
3505,6,1,1
3538,9,3,1
3507,5,5,4
3508,111,22,5
3517,10,0,1
3654,66,7,7
3629,807,737,19
3524,5,2,1
3526,29,4,2
3644,1246,1182,44
3671,67,112,2
3691,57,63,17
3642,15,19,1
3519,7,0,1
3520,13,12,4
3525,480,87,13
3581,2,2,2
3529,3,2,1
3787,34,16,1
7125,3006,2235,36
7124,2224,3002,36
3533,21,6,2
3532,14,9,1
3566,317,260,6
3569,110,61,9
3554,677,1,4
3669,78,10,1
3593,183,99,2
3585,289,1,2
3544,66,1,2
3660,20,1,1
3556,39,11,4
3555,116,0,1
3584,74,29,2
3537,179,72,11
3539,63,29,1
3589,33,34,5
3540,30,4,2
3541,42,75,11
3635,23,11,4
3542,32,20,2
3558,40,0,4
3551,40,0,4
3543,2,0,1
3553,3,5,1
3611,181,54,5
3545,447,527,30
3548,1,0,1
3552,38,44,5
3549,0,1,1
3559,2,3,1
3570,121,2,3
3557,25,4,1
3560,4,25,1
3561,29,6,2
3562,139,83,6
3567,83,139,6
3568,146,83,6
3563,12,7,1
3564,182,94,2
3573,6,7,1
3580,84,21,5
3565,1,1,1
3632,8,2,3
3579,6,5,3
3591,221,276,9
3577,2,1,1
3574,36,1,3
3575,30,1,3
3571,101,51,2
3576,7,8,2
3578,116,92,22
3588,18,4,1
3590,8,8,3
3587,19,9,5
3643,103,0,1
3641,286,19,4
3628,424,38,13
3597,28,48,4
3599,35,39,9
3595,1,1,1
3596,38,9,2
3598,75,51,20
3600,35,160,9
3636,77,49,6
3601,6,40,1
3608,1,1,1
3602,3,3,1
3606,15,3,4
3610,517,116,14
3604,115,12,12
3620,79,31,7
3607,7,0,1
3619,0,7,1
3621,71,40,2
3639,1,1,1
3609,25,18,2
3612,157,135,5
3631,6,3,2
3617,9,3,1
3613,1,1,1
3616,4,4,1
3618,32,58,1
3614,2,1,1
3615,4,4,1
3646,126,27,7
3625,20,4,2
3623,20,4,2
3624,4,20,2
3622,22,5,3
3626,46,75,19
3627,45,15,3
3630,12,9,1
3633,1,4,3
3731,4,3,1
3637,19,8,5
3648,7,495810,52
4099,33,22,1
3634,33,22,1
3638,10,0,1
3665,91,20,5
3645,71,41,8
3657,0,4,2
3872,150,0,1
3651,4,4,1
3647,33,11,2
3650,174,165,5
3649,1,1,1
3652,10,7,2
3656,4,4,1
3653,1,1,1
3682,647,159,7
3655,10,8,1
3697,112,99,4
3721,84,6,5
3821,35,174,29
3662,4,3,1
3663,4,2,1
3664,192,372,17
3666,156,11,5
