github_number,additions,deletions,changed_files
13024,75,10,3
14158,75,10,3
13299,4,17,2
13056,17,7,1
13032,17,7,1
13045,40,32,3
1615,1,1,1
13043,215,213,15
12994,150,6,7
13905,1,1,3
13052,10,16,4
14465,8,2,3
13064,39,17,6
13119,3,3,3
13943,1,1,3
13058,1,1,1
13061,40,4,1
13066,140,18,2
13068,2,1,1
14809,23,22,7
13073,33,23,8
14751,1,1,1
14777,23,22,7
13080,139,117,8
13088,139,117,8
13076,2,2,1
13112,1283,1,17
13114,4,4,1
13117,21,7,1
13133,9,1,1
13125,33,26,2
13228,1,2,1
13478,50,9,1
13338,39,45,2
13440,10,3,3
13137,552,0,8
13290,27,12,1
13145,29,51,2
13291,3,0,1
13147,4,4,1
13245,97,12,2
13436,299,1,5
13389,224,0,3
13388,310,0,3
13362,590,8,17
13494,13,4,1
13529,654,3,7
13257,0,0,0
13438,289,0,3
13149,110,5,2
13831,4,2,1
13160,1159,0,5
1646,0,9,1
1546,0,49,2
1741,0,18,2
14966,219,30,10
15743,221,9,9
15871,2,0,1
15299,1,3,2
15320,230,14,5
15253,371,1,5
15345,1,1,1
13162,80,45,3
1551,1,4,1
13166,136,2,2
13788,10,0,1
13217,449,64,13
13163,78,10,2
13118,740,486,85
15398,13,13,2
15896,181,7,7
15530,10,0,1
15563,37,9,5
15594,62,25,8
15483,505,0,2
15717,81,49,4
2118,20,251,10
13167,4,3,1
13174,67,8,5
13188,372,10,8
13179,3,3,2
13178,4,0,1
13183,18,6,2
13184,17,5,1
13186,14,11,1
1639,434,17,16
1711,36,6,3
14011,1,1,1
13981,1,1,1
15668,4,2,2
13978,6,6,5
13203,3,6,1
13196,3,0,1
13283,174,38,9
13206,9,2,2
13221,372,104,21
13205,7,6,3
13240,521,273,38
13214,16,0,1
14124,7,0,4
13262,17,0,1
13215,139,0,3
13225,10,1,1
13229,56,0,2
13281,6,2,1
13598,109,58,2
13273,175,98,5
13234,18,3,3
13236,22,3,2
13759,104,12,1
13238,14,2,1
13237,10,1,1
13219,4,1,1
15172,1,1,1
15308,2,2,2
13936,1,1,1
13282,199,64,7
13319,2015,0,24
13250,9,5,2
13255,182,178,14
13325,315,305,8
13370,219,1,2
13256,34,4,2
13269,95,17,2
13260,93,66,2
13339,1,1,1
13294,4,2,1
13280,12,3,2
13549,28,14,2
13303,63,5,2
13202,88,31,2
13359,63,5,2
13789,39,3,3
13279,1,1,1
13447,1,1,1
15411,21,21,2
14527,438,236,7
14925,2,0,1
15835,39,19,5
13937,4,4,2
15869,35,17,5
13371,3,3,1
13272,770,233,20
13484,7,6,1
13378,17,2,2
13987,2,2,1
13302,13,1,3
13369,30,1,3
14409,131,66,6
14416,131,66,6
